String;PSČ;CC;Město;Okres;Kraj
56113-Sudslava, Sudoměřice u Tábora;56113;1;Sudslava;Sudoměřice u Tábora;
56114-České Libchavy, České Libchavy;56114;1;České Libchavy;České Libchavy;
56115-Sopotnice, Sopotnice;56115;1;Sopotnice;Sopotnice;
56116-Dolní Libchavy, Liběchov;56116;1;Dolní Libchavy;Liběchov;
56117-Dlouhá Třebová, Dlouhomilov;56117;1;Dlouhá Třebová;Dlouhomilov;
56118-Němčice, Němčice;56118;1;Němčice;Němčice;
56122-Ostrov, Ostrov;56122;1;Ostrov;Ostrov;
56123-Damníkov, Darkovice;56123;1;Damníkov;Darkovice;
56124-Třebovice, Třebsko;56124;1;Třebovice;Třebsko;
56125-Rudoltice, Rudoltice;56125;1;Rudoltice;Rudoltice;
56131-Tatenice, Tatobity;56131;1;Tatenice;Tatobity;
56132-Cotkytle, Cvikov;56132;1;Cotkytle;Cvikov;
56133-Horní Heřmanice, Horní Kruty;56133;1;Horní Heřmanice;Horní Kruty;
56134-Výprachtice, Vyklantice;56134;1;Výprachtice;Vyklantice;
56141-Řetová, Řepníky;56141;1;Řetová;Řepníky;
56151-Letohrad, Letovice;56151;1;Letohrad;Letovice;
56152-Verměřovice, Verměřovice;56152;1;Verměřovice;Verměřovice;
56153-Dolní Čermná, Dolní Domaslavice;56153;1;Dolní Čermná;Dolní Domaslavice;
56154-Bystřec, Bystřice;56154;1;Bystřec;Bystřice;
56155-Orličky, Orličky;56155;1;Orličky;Orličky;
56156-Horní Čermná, Horní Dvořiště;56156;1;Horní Čermná;Horní Dvořiště;
56161-Červená Voda, Červené Janovice;56161;1;Červená Voda;Červené Janovice;
56163-Nekoř, Nekoř;56163;1;Nekoř;Nekoř;
56164-Jablonné nad Orlicí, Jablunkov;56164;1;Jablonné nad Orlicí;Jablunkov;
56165-Jamné nad Orlicí, Jankov;56165;1;Jamné nad Orlicí;Jankov;
56166-Těchonín, Telč;56166;1;Těchonín;Telč;
56167-Mladkov, Mladotice;56167;1;Mladkov;Mladotice;
56169-Králíky, Kralovice;56169;1;Králíky;Kralovice;
56170-Písečná, Písařov;56170;1;Písečná;Písařov;
56181-Kunvald, Kunžak;56181;1;Kunvald;Kunžak;
56182-Klášterec nad Orlicí, Klatovy;56182;1;Klášterec nad Orlicí;Klatovy;
56184-Líšnice, Liteň;56184;1;Líšnice;Liteň;
56185-Česká Rybná, Česká Rybná;56185;1;Česká Rybná;Česká Rybná;
56186-Bohousová, Zábřeh;56186;1;Bohousová;Zábřeh;
56201-Ústí nad Orlicí, Ústí nad Orlicí;56201;1;Ústí nad Orlicí;Ústí nad Orlicí;
56203-Hylváty, Ústí nad Orlicí;56203;1;Hylváty;Ústí nad Orlicí;
56204-Kerhartice, Ústí nad Orlicí;56204;1;Kerhartice;Ústí nad Orlicí;
56206-Ústí nad Orlicí, Úterý;56206;1;Ústí nad Orlicí;Úterý;
56301-Lanškroun-Vnitřní Město, Lanžhot;56301;1;Lanškroun-Vnitřní Město;Lanžhot;
56401-Žamberk, Žalhostice;56401;1;Žamberk;Žalhostice;
56501-Choceň, Choceň;56501;1;Choceň;Choceň;
56502-Choceň, Chocerady;56502;1;Choceň;Chocerady;
56542-Vraclav, Vraclav;56542;1;Vraclav;Vraclav;
56543-Zámrsk, Zalužany;56543;1;Zámrsk;Zalužany;
56544-Sruby, Sruby;56544;1;Sruby;Sruby;
56552-České Heřmanice, České Heřmanice;56552;1;České Heřmanice;České Heřmanice;
56553-Horní Sloupnice, Šluknov;56553;1;Horní Sloupnice;Šluknov;
56601-Vysoké Mýto-Město, Vysoká Pec;56601;1;Vysoké Mýto-Město;Vysoká Pec;
56801-Předměstí, Svitavy;56801;1;Předměstí;Svitavy;
56802-Lány, Svitavy;56802;1;Lány;Svitavy;
56804-Lačnov, Svitavy;56804;1;Lačnov;Svitavy;
56901-Hradec nad Svitavou, Hrádek;56901;1;Hradec nad Svitavou;Hrádek;
